district,candidate,mentions,first_place_votes,total_amount,total_contribution_count,total_spending,expenditure_count
1,Candace Avalos,22267.0,8297.0,58893.8,1494,177221.93,470.0
1,Steph Routh,20440.0,3894.0,76006.71,1975,201809.37,572.0
1,Jamie Dunphy,18470.0,5064.0,35174.53,1055,,
1,Loretta Smith,17984.0,5586.0,43744.96,517,1464141.21,1510.0
1,Timur Ender,16858.0,3550.0,61809.84,1260,157642.42,160.0
1,Terrence Hayes,15967.0,3975.0,36108.05,963,92626.13,197.0
1,Noah Ernst,11606.0,4052.0,12993.18,416,60028.06,136.0
1,David Linn,9324.0,1111.0,4776.99,130,5176.49,66.0
1,Cayle Tern,9061.0,711.0,7395.0,313,13202.71,72.0
1,Doug Clove,7593.0,1698.0,1505.0,13,,
1,Deian Salazar,5262.0,720.0,1380.0,54,5326.85,76.0
1,Joe Furi,4070.0,355.0,813.95,11,750.0,8.0
1,Thomas Shervey,3507.0,385.0,1060.0,21,2223.98,25.0
2,Elana Pirtle-Guiney,34268.0,12447.0,47039.93,615,85457.75,121.0
2,Dan Ryan,34116.0,12047.0,120133.0,1151,,
2,Michelle DePass,32612.0,6838.0,32578.29,720,121536.89,233.0
2,Sameer Kanal,31168.0,9924.0,34711.76,1176,102966.45,166.0
2,Nat West,30666.0,5462.0,51915.64,1649,131140.06,169.0
2,Tiffani Penson,30148.0,7218.0,80381.24,853,143910.77,178.0
2,Jonathan Tasini,22140.0,3404.0,49453.07,717,106663.61,169.0
2,Marnie Glickman,20718.0,3997.0,34318.0,1090,133462.97,128.0
2,Mariah Hudson,20051.0,2287.0,74201.68,1112,154825.11000000002,197.0
2,Michael (Mike) Marshall,15684.0,1646.0,55074.82,663,100931.24,192.0
2,James Armstrong,13504.0,1476.0,25246.18,426,63784.29,165.0
2,Jennifer Park,11124.0,1114.0,15950.86,418,45905.09,186.0
2,Bob Simril,11062.0,2520.0,26230.0,424,80881.96,179.0
2,Debbie Kitchin,9088.0,1228.0,34884.88,460,70605.48,150.0
2,Chris Olson,7509.0,1233.0,7272.45,389,42466.85,246.0
2,Nabil Zaghloul,6482.0,834.0,26484.0,1111,109719.75,173.0
2,Laura Streib,4848.0,707.0,10718.42,318,30462.27,55.0
2,Will Mespelt,3884.0,759.0,1215.0,11,16523.17,97.0
2,Reuben Berlin,3784.0,656.0,6309.98,81,9124.48,40.0
2,Sam Sachs,2824.0,304.0,4349.01,70,5480.68,35.0
3,Steve Novick,51189.0,20457.0,87240.55,1193,1081644.06,662.0
3,Angelita Morillo,47477.0,16399.0,64641.17,2187,230589.39,503.0
3,Tiffany Koyama Lane,45876.0,16320.0,88689.62,2848,308922.62,893.0
3,Jesse Cornett,31392.0,3860.0,52912.46,1244,140392.04,349.0
3,Rex Burkholder,29335.0,3951.0,39230.39,524,,
3,Chris Flanary,20728.0,1242.0,17826.94,442,56362.95,127.0
3,Philippe Knab,19531.0,1551.0,5115.0,47,5919.57,37.0
3,Ahlam K Osman,12133.0,709.0,9002.06,454,45930.68,52.0
3,Harrison Kass,9223.0,2786.0,16057.89,372,60367.86,81.0
3,Jonathan (Jon) Walker,8736.0,1322.0,3842.5,97,4611.13,78.0
3,Luke Zak,8581.0,548.0,9730.62,473,40457.04,127.0
3,Matthew (Matt) Anderson,4506.0,755.0,710.0,6,,
3,Theo Hathaway Saner,3525.0,219.0,7504.99,238,12588.82,93.0
3,Dan Gilk,3130.0,330.0,3490.0,40,,
3,Kelly Janes (KJ),2684.0,225.0,4730.0,66,9301.96,61.0
4,Olivia Clark,45205.0,19138.0,95639.0,1172,194106.54,147.0
4,Eric Zimmerman,36731.0,8005.0,41878.55,522,291095.65,188.0
4,Eli Arnold,34636.0,8123.0,50778.15,940,108592.89,196.0
4,Mitch Green,33043.0,10387.0,60464.56,1568,197062.06,586.0
4,Sarah Silkie,32039.0,4415.0,25477.64,1017,102010.01,172.0
4,Chad Lykins,25423.0,4757.0,47007.66,962,127926.92,160.0
4,Lisa Freeman,21644.0,3749.0,25827.58,553,66943.08,201.0
4,Bob Weinstein,20934.0,3891.0,33919.91,473,80985.14,99.0
4,Tony Morse,13246.0,2004.0,41809.6,554,81288.87,172.0
4,Ben Hufford,12275.0,1694.0,49074.17,662,89305.67,75.0
4,Stanley Penkin,9570.0,1092.0,61847.0,830,105363.28,131.0
4,John Toran,8652.0,1052.0,180.0,11,16332.26,93.0
4,Andra Vltavín,6504.0,1355.0,800.0,3,,
4,Moses Ross,5238.0,578.0,27896.63,1021,110289.04,264.0
4,Chris Henry,3199.0,301.0,5474.24,589,28935.93,80.0
4,Mike DiNapoli,3001.0,315.0,7289.0,131,7389.0,45.0
4,Michael Trimble,1856.0,230.0,509.0,29,1349.86,22.0
